     orb #      occ_a      occ_b 
         0    0.99889    0.99889 
         1    0.99884    0.99884 
         2    0.99881    0.99881 
         3    0.99847    0.99847 
         4    0.99837    0.99837 
         5    0.99619    0.99619 
         6    0.99601    0.99601 
         7    0.97740    0.97740 
         8    0.97710    0.97710 
         9    0.48533    0.48533 
        10    0.47953    0.47953 
        11    0.02623    0.02623 
        12    0.02611    0.02611 
        13    0.00866    0.00866 
        14    0.00860    0.00860 
        15    0.00610    0.00610 
        16    0.00609    0.00609 
        17    0.00130    0.00130 
        18    0.00117    0.00117 
        19    0.00116    0.00116 
