     orb #      occ_a      occ_b 
         0    0.99956    0.99956 
         1    0.99948    0.99948 
         2    0.99940    0.99940 
         3    0.99929    0.99929 
         4    0.99922    0.99922 
         5    0.99913    0.99913 
         6    0.99898    0.99898 
         7    0.99827    0.99827 
         8    0.99395    0.99395 
         9    0.17865    0.17865 
        10    0.17829    0.17829 
        11    0.17044    0.17044 
        12    0.17031    0.17031 
        13    0.14684    0.14684 
        14    0.14608    0.14608 
        15    0.00607    0.00607 
        16    0.00285    0.00285 
        17    0.00243    0.00243 
        18    0.00119    0.00119 
        19    0.00112    0.00112 
