     orb #      occ_a      occ_b 
         0    0.99960    0.99960 
         1    0.99954    0.99954 
         2    0.99945    0.99945 
         3    0.99933    0.99933 
         4    0.99926    0.99926 
         5    0.99917    0.99917 
         6    0.99904    0.99904 
         7    0.99845    0.99845 
         8    0.99294    0.99294 
         9    0.48358    0.48358 
        10    0.47960    0.47960 
        11    0.01079    0.01079 
        12    0.00760    0.00760 
        13    0.00692    0.00692 
        14    0.00691    0.00691 
        15    0.00653    0.00653 
        16    0.00126    0.00126 
        17    0.00118    0.00118 
        18    0.00107    0.00107 
        19    0.00106    0.00106 
