     orb #      occ_a      occ_b 
         0    0.99896    0.99896 
         1    0.99892    0.99892 
         2    0.99886    0.99886 
         3    0.99856    0.99856 
         4    0.99842    0.99842 
         5    0.99627    0.99627 
         6    0.99607    0.99607 
         7    0.97746    0.97746 
         8    0.97715    0.97715 
         9    0.48536    0.48536 
        10    0.47957    0.47957 
        11    0.02626    0.02626 
        12    0.02606    0.02606 
        13    0.00867    0.00867 
        14    0.00854    0.00854 
        15    0.00611    0.00611 
        16    0.00606    0.00606 
        17    0.00128    0.00128 
        18    0.00117    0.00117 
        19    0.00112    0.00112 
