     orb #      occ_a      occ_b 
         0    0.99894    0.99894 
         1    0.99890    0.99890 
         2    0.99885    0.99885 
         3    0.99854    0.99854 
         4    0.99840    0.99840 
         5    0.99626    0.99626 
         6    0.99607    0.99607 
         7    0.97745    0.97745 
         8    0.97715    0.97715 
         9    0.48537    0.48537 
        10    0.47964    0.47964 
        11    0.02624    0.02624 
        12    0.02605    0.02605 
        13    0.00864    0.00864 
        14    0.00853    0.00853 
        15    0.00609    0.00609 
        16    0.00607    0.00607 
        17    0.00129    0.00129 
        18    0.00116    0.00116 
        19    0.00115    0.00115 
