     orb #      occ_a      occ_b 
         0    0.99899    0.99899 
         1    0.99896    0.99896 
         2    0.99889    0.99889 
         3    0.99857    0.99857 
         4    0.99843    0.99843 
         5    0.99629    0.99629 
         6    0.99608    0.99608 
         7    0.97745    0.97745 
         8    0.97713    0.97713 
         9    0.48530    0.48530 
        10    0.47940    0.47940 
        11    0.02630    0.02630 
        12    0.02608    0.02608 
        13    0.00873    0.00873 
        14    0.00861    0.00861 
        15    0.00612    0.00612 
        16    0.00611    0.00611 
        17    0.00127    0.00127 
        18    0.00119    0.00119 
        19    0.00111    0.00111 
