     orb #      occ_a      occ_b 
         0    0.99890    0.99890 
         1    0.99884    0.99884 
         2    0.99882    0.99882 
         3    0.99847    0.99847 
         4    0.99837    0.99837 
         5    0.99620    0.99620 
         6    0.99602    0.99602 
         7    0.97741    0.97741 
         8    0.97711    0.97711 
         9    0.48589    0.48589 
        10    0.48009    0.48009 
        11    0.02622    0.02622 
        12    0.02609    0.02609 
        13    0.00867    0.00867 
        14    0.00861    0.00861 
        15    0.00611    0.00611 
        16    0.00609    0.00609 
        17    0.00120    0.00120 
        18    0.00120    0.00120 
        19    0.00091    0.00091 
