     orb #      occ_a      occ_b 
         0    0.99915    0.99915 
         1    0.99914    0.99914 
         2    0.99903    0.99903 
         3    0.99903    0.99903 
         4    0.99829    0.99829 
         5    0.99828    0.99828 
         6    0.98950    0.98950 
         7    0.98950    0.98950 
         8    0.51068    0.51068 
         9    0.51067    0.51067 
        10    0.26199    0.26199 
        11    0.25979    0.25979 
        12    0.23466    0.23466 
        13    0.23276    0.23276 
        14    0.00282    0.00282 
        15    0.00281    0.00281 
        16    0.00127    0.00127 
        17    0.00126    0.00126 
        18    0.00095    0.00095 
        19    0.00079    0.00079 
