     orb #      occ_a      occ_b 
         0    0.99890    0.99890 
         1    0.99885    0.99885 
         2    0.99883    0.99883 
         3    0.99848    0.99848 
         4    0.99841    0.99841 
         5    0.99621    0.99621 
         6    0.99602    0.99602 
         7    0.97740    0.97740 
         8    0.97719    0.97719 
         9    0.48589    0.48589 
        10    0.48005    0.48005 
        11    0.02620    0.02620 
        12    0.02608    0.02608 
        13    0.00873    0.00873 
        14    0.00867    0.00867 
        15    0.00614    0.00614 
        16    0.00614    0.00614 
        17    0.00121    0.00121 
        18    0.00121    0.00121 
        19    0.00092    0.00092 
