     orb #      occ_a      occ_b 
         0    0.99957    0.99957 
         1    0.99950    0.99950 
         2    0.99941    0.99941 
         3    0.99930    0.99930 
         4    0.99923    0.99923 
         5    0.99915    0.99915 
         6    0.99900    0.99900 
         7    0.99833    0.99833 
         8    0.99369    0.99369 
         9    0.25492    0.25492 
        10    0.24910    0.24910 
        11    0.24485    0.24485 
        12    0.24163    0.24163 
        13    0.00630    0.00630 
        14    0.00373    0.00373 
        15    0.00158    0.00158 
        16    0.00108    0.00108 
        17    0.00108    0.00108 
        18    0.00081    0.00081 
        19    0.00079    0.00079 
