     orb #      occ_a      occ_b 
         0    0.99957    0.99957 
         1    0.99950    0.99950 
         2    0.99941    0.99941 
         3    0.99931    0.99931 
         4    0.99924    0.99924 
         5    0.99916    0.99916 
         6    0.99901    0.99901 
         7    0.99835    0.99835 
         8    0.99377    0.99377 
         9    0.31246    0.31246 
        10    0.28111    0.28111 
        11    0.19710    0.19710 
        12    0.19025    0.19025 
        13    0.00998    0.00998 
        14    0.00626    0.00626 
        15    0.00369    0.00369 
        16    0.00162    0.00162 
        17    0.00105    0.00105 
        18    0.00102    0.00102 
        19    0.00080    0.00080 
