     orb #      occ_a      occ_b 
         0    0.99896    0.99896 
         1    0.99893    0.99893 
         2    0.99887    0.99887 
         3    0.99857    0.99857 
         4    0.99843    0.99843 
         5    0.99626    0.99626 
         6    0.99608    0.99608 
         7    0.97758    0.97758 
         8    0.97727    0.97727 
         9    0.40507    0.40507 
        10    0.28050    0.28050 
        11    0.27535    0.27535 
        12    0.02614    0.02614 
        13    0.02593    0.02593 
        14    0.00773    0.00773 
        15    0.00759    0.00759 
        16    0.00756    0.00756 
        17    0.00743    0.00743 
        18    0.00303    0.00303 
        19    0.00296    0.00296 
