     orb #      occ_a      occ_b 
         0    0.99914    0.99914 
         1    0.99911    0.99911 
         2    0.99907    0.99907 
         3    0.99906    0.99906 
         4    0.99843    0.99843 
         5    0.99840    0.99840 
         6    0.99014    0.99014 
         7    0.99014    0.99014 
         8    0.50995    0.50995 
         9    0.50989    0.50989 
        10    0.24068    0.24068 
        11    0.24063    0.24063 
        12    0.19416    0.19416 
        13    0.19416    0.19416 
        14    0.06106    0.06106 
        15    0.06102    0.06102 
        16    0.00213    0.00213 
        17    0.00212    0.00212 
        18    0.00110    0.00110 
        19    0.00109    0.00109 
