     orb #      occ_a      occ_b 
         0    0.99900    0.99900 
         1    0.99896    0.99896 
         2    0.99889    0.99889 
         3    0.99858    0.99858 
         4    0.99844    0.99844 
         5    0.99628    0.99628 
         6    0.99609    0.99609 
         7    0.97757    0.97757 
         8    0.97725    0.97725 
         9    0.41092    0.41092 
        10    0.27624    0.27624 
        11    0.27373    0.27373 
        12    0.02617    0.02617 
        13    0.02595    0.02595 
        14    0.00755    0.00755 
        15    0.00751    0.00751 
        16    0.00748    0.00748 
        17    0.00743    0.00743 
        18    0.00318    0.00318 
        19    0.00312    0.00312 
