     orb #      occ_a      occ_b 
         0    0.99902    0.99902 
         1    0.99897    0.99897 
         2    0.99897    0.99897 
         3    0.99859    0.99859 
         4    0.99859    0.99859 
         5    0.99624    0.99624 
         6    0.99624    0.99624 
         7    0.97755    0.97755 
         8    0.97755    0.97755 
         9    0.41912    0.41912 
        10    0.27244    0.27244 
        11    0.27030    0.27030 
        12    0.02605    0.02605 
        13    0.02605    0.02605 
        14    0.00724    0.00724 
        15    0.00724    0.00724 
        16    0.00718    0.00718 
        17    0.00717    0.00717 
        18    0.00324    0.00324 
        19    0.00324    0.00324 
