     orb #      occ_a      occ_b 
         0    0.99891    0.99891 
         1    0.99886    0.99886 
         2    0.99884    0.99884 
         3    0.99850    0.99850 
         4    0.99842    0.99842 
         5    0.99620    0.99620 
         6    0.99603    0.99603 
         7    0.97750    0.97750 
         8    0.97729    0.97729 
         9    0.37652    0.37652 
        10    0.29556    0.29556 
        11    0.28650    0.28650 
        12    0.02611    0.02611 
        13    0.02598    0.02598 
        14    0.00848    0.00848 
        15    0.00845    0.00845 
        16    0.00818    0.00818 
        17    0.00815    0.00815 
        18    0.00268    0.00268 
        19    0.00262    0.00262 
